Contrato;Cliente;DataContrato;Produto;Banco;NomeBanco;Moeda;TaxaCambio;Qtd_Prestacao;V_Contrato;T_Pago;T_Cancelado;T_Desconto;Saldo;DataUltPrestacao;QtdPrestAbertas;DataUltParcela;QtdPrestVencer
9.010081005E9;60812;2005-09-06;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;4.00593395125E7;4.00593395125E7;0.0;0.0;0.0;2006-09-01;"";2006-09-01;""
9.010081006E9;224;2006-07-17;CARTA DE CREDITO;705;WACHOVIA BANK N.A.;USD;3.8423;2;1494757.481525;1494757.481525;0.0;0.0;0.0;2006-08-23;"";2006-08-23;""
9.010081007E9;9242;2007-05-30;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;1;366324.882;0.0;0.0;0.0;366324.882;2007-08-28;1;2007-08-28;""
9.010081104E9;60800;2004-12-27;CARTA DE CREDITO;485;KEYBANK NATIONAL ASSOCIATION;USD;3.8423;1;134849.975568;134849.975568;0.0;0.0;0.0;2005-05-23;"";2005-05-23;""
9.010081105E9;15202;2005-09-16;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;330270.736796;330270.736796;0.0;0.0;0.0;2006-01-13;"";2006-01-13;""
9.010081106E9;224;2006-08-17;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;355462.31567;355462.31567;0.0;0.0;0.0;2006-09-15;"";2006-09-15;""
9.010081107E9;60812;2007-05-16;FINANCEIRO;579;BHF-BANK AG;USD;3.8423;2;2.00303901875E7;0.0;0.0;0.0;2.00303901875E7;2008-02-19;2;2008-02-19;""
9.010081203E9;9410;2003-11-25;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;1;172699.08964;172699.08964;0.0;0.0;0.0;2004-01-30;"";2004-01-30;""
9.010081204E9;51;2004-12-30;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;1.3100068834545E7;1.3100068834545E7;0.0;0.0;0.0;2005-04-29;"";2005-04-29;""
9.010081205E9;60812;2005-09-08;FINANCEIRO;579;BHF-BANK AG;USD;3.8423;2;2.352755559E7;2.352755559E7;0.0;0.0;0.0;2006-03-07;"";2006-03-07;""
9.010081207E9;60812;2007-05-16;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;6.0857377207242E7;0.0;0.0;0.0;6.0857377207242E7;2008-05-09;2;2008-05-09;""
9.010081303E9;2162;2003-11-19;CARTA DE CREDITO;140;BANK OF TOKYO-MITSUBISHI UFJ (THE);JPY;0.0354;1;49147.590000000004;49147.590000000004;0.0;0.0;0.0;2004-01-06;"";2004-01-06;""
9.010081305E9;60812;2005-09-08;FINANCEIRO;579;BHF-BANK AG;USD;3.8423;2;1.37244074275E7;1.37244074275E7;0.0;0.0;0.0;2006-03-07;"";2006-03-07;""
9.010081307E9;28677;2007-05-21;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;672179.7618689999;0.0;0.0;0.0;672179.7618689999;2007-09-18;2;2007-09-18;""
9.010081403E9;11254;2003-11-28;IMPORTACAO;37;CITIBANK N.A.;USD;3.8423;2;8813713.531930998;8813713.531930998;0.0;0.0;0.0;2004-11-22;"";2004-11-22;""
9.010081404E9;17057;2004-12-21;CARTA DE CREDITO;440;WELLS FARGO BANK NA;USD;3.8423;1;60324.11;60324.11;0.0;0.0;0.0;2005-03-11;"";2005-03-11;""
9.010081505E9;2038;2005-09-13;CARTA DE CREDITO;787;MIZUHO BANK LTD.;USD;3.8423;1;117213.20379999999;117213.20379999999;0.0;0.0;0.0;2006-02-06;"";2006-02-06;""
9.010081506E9;59099;2006-07-12;CARTA DE CREDITO;299;STANDARD CHARTERED BANK PLC;USD;3.8423;1;755242.488;755242.488;0.0;0.0;0.0;2006-11-27;"";2006-11-27;""
9.010081604E9;60812;2004-12-20;FINANCEIRO;99;DRESDNER BANK LATEINAMERIKA AG.;USD;3.8423;2;4.6805733076718E7;4.6805733076718E7;0.0;0.0;0.0;2005-06-20;"";2005-06-20;""
9.010081605E9;60812;2005-09-09;FINANCEIRO;118;ING - INTL NETHERLAND BANK;USD;3.8423;2;3.92145138E7;3.92145138E7;0.0;0.0;0.0;2006-03-08;"";2006-03-08;""
9.010081606E9;59099;2006-07-12;CARTA DE CREDITO;299;STANDARD CHARTERED BANK PLC;USD;3.8423;1;757394.176;757394.176;0.0;0.0;0.0;2006-11-20;"";2006-11-20;""
9.010081607E9;429;2007-05-29;CARTA DE CREDITO;28;BANK OF AMERICA;USD;3.8423;1;1172208.8839999998;0.0;0.0;0.0;1172208.8839999998;2007-08-20;1;2007-08-20;""
9.010081704E9;60812;2004-12-20;FINANCEIRO;42;THE BANK OF NEW YORK;USD;3.8423;2;2.3397660260282E7;2.3397660260282E7;0.0;0.0;0.0;2005-06-20;"";2005-06-20;""
9.010081705E9;60812;2005-09-09;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;9809722.3378;9809722.3378;0.0;0.0;0.0;2006-03-08;"";2006-03-08;""
9.010081707E9;389;2007-05-29;CARTA DE CREDITO;680;BANK OF AMERICA N.A.;USD;3.8423;3;501945.77663999994;0.0;0.0;0.0;501945.77663999994;2007-09-18;3;2007-09-18;""
9.010081804E9;1427;2004-12-20;CARTA DE CREDITO;736;BANK OF INDIA;USD;3.8423;2;287768.635847;287768.635847;0.0;0.0;0.0;2005-04-04;"";2005-04-04;""
9.010081805E9;60812;2005-09-09;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;1.96194446756E7;1.96194446756E7;0.0;0.0;0.0;2006-03-08;"";2006-03-08;""
9.010081904E9;186;2004-12-22;CARTA DE CREDITO;712;UNION BANK OF CALIFORNIA, NA;USD;3.8423;1;204986.705;204986.705;0.0;0.0;0.0;2005-05-02;"";2005-05-02;""
9.010081905E9;60812;2005-09-09;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;3923888.93512;3923888.93512;0.0;0.0;0.0;2006-03-08;"";2006-03-08;""
9.010082004E9;1680;2005-02-11;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;312763.22;312763.22;0.0;0.0;0.0;2005-08-10;"";2005-08-10;""
9.010082007E9;60812;2007-05-17;FINANCEIRO;444;BANCO BOAVISTA INTERATLANTICO S.A.;USD;3.8423;2;3.38843023365E7;3.342801E7;0.0;0.0;456292.3365;2007-08-15;1;2007-08-15;""
9.010082104E9;60812;2004-12-21;FINANCEIRO;107;DRESDNER BANK AG;USD;3.8423;2;3.9763002125E7;3.9763002125E7;0.0;0.0;0.0;2005-12-16;"";2005-12-16;""
9.010082106E9;62636;2006-08-01;CARTA DE CREDITO;544;KOREA EXCHANGE BANK;USD;3.8423;2;223218.41849999997;223218.41849999997;0.0;0.0;0.0;2006-11-06;"";2006-11-06;""
9.010082107E9;60812;2007-05-17;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;2.8409499629511E7;0.0;0.0;0.0;2.8409499629511E7;2008-05-12;2;2008-05-12;""
9.010082203E9;1212;2003-12-15;IMPORTACAO;486;UNION BANK OF CALIFORNIA N.A.;USD;3.8423;2;979084.588636;979084.588636;0.0;0.0;0.0;2004-12-09;"";2004-12-09;""
9.010082204E9;60812;2004-12-21;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;7803986.639218;7803986.639218;0.0;0.0;0.0;2005-06-20;"";2005-06-20;""
9.010082206E9;60812;2006-07-05;FINANCEIRO;11;BANCA INTESA;USD;3.8423;2;3.9489810637431E7;3.9489810637431E7;0.0;0.0;0.0;2007-01-02;"";2007-01-02;""
9.010082207E9;60812;2007-05-17;FINANCEIRO;587;BANCO REGIONAL DEL NORTE;EUR;4.331;2;1.3131794084460001E7;0.0;0.0;0.0;1.3131794084460001E7;2007-08-17;2;2007-08-17;""
9.010082304E9;60812;2004-12-22;FINANCEIRO;367;BANCO SANTANDER CENTRAL HISPANO;USD;3.8423;2;1.248132732E7;1.248132732E7;0.0;0.0;0.0;2005-06-20;"";2005-06-20;""
9.010082305E9;429;2005-09-13;CARTA DE CREDITO;521;BANK OF CHINA;USD;3.8423;1;155786.05349999998;155786.05349999998;0.0;0.0;0.0;2005-10-07;"";2005-10-07;""
9.010082307E9;58991;2007-05-30;CARTA DE CREDITO;69;BANK OF AMERICA (ASIA) LTD;USD;3.8423;1;510439.56502;510439.56502;0.0;0.0;0.0;2007-07-19;"";2007-07-19;""
9.010082403E9;1349;2003-11-25;CARTA DE CREDITO;494;BANCO BILBAO VIZCAYA ARGENTARIA S.A;EUR;4.331;1;67056.95962000001;67056.95962000001;0.0;0.0;0.0;2004-01-23;"";2004-01-23;""
